date,grower,bog,rot,debris,color,kqf_pre,kqf_final,log_rot,variety_coll,year,month,data_source
2013-10-16T00:00:00Z,Bett01,1,5,0,37,1,2,0.699837725867246,other,2013,10,decas
2013-10-16T00:00:00Z,Bett01,1,4.54,0,41,1,2,0.658011396657112,other,2013,10,decas
2013-10-17T00:00:00Z,Bett01,1,4.91,0,28,1,2,0.69196510276736,other,2013,10,decas
2013-10-17T00:00:00Z,Bett01,1,5,0,44,1,2,0.699837725867246,other,2013,10,decas
2013-10-23T00:00:00Z,Bott05,1,1.53,0,58,1,2,0.187520720836463,EB,2013,10,decas
2013-10-22T00:00:00Z,Chan01,1,2.22,0,53,1,2,0.348304863048161,ST,2013,10,decas
2013-10-31T00:00:00Z,Jenn01,1,1.23,0,40,1,2,0.0934216851622351,HO,2013,10,decas
2013-10-31T00:00:00Z,Jenn01,1,1.23,0,40,1,2,0.0934216851622351,HO,2013,10,decas
2013-11-18T00:00:00Z,Luca02,1,9.34,0,36,1,2,0.970811610872518,HO,2013,11,decas
2013-09-23T00:00:00Z,Olso01,1,15.5,0,35,1,2,1.19061179781361,BL,2013,9,decas
2013-10-05T00:00:00Z,Pett02,1,15,0,27,1,2,1.17638069224327,BL,2013,10,decas
2013-10-06T00:00:00Z,Pett02,1,15,0,30,1,2,1.17638069224327,BL,2013,10,decas
2013-10-02T00:00:00Z,Bott02,2,6.17,0,24,1,2,0.790988475088816,ST,2013,10,decas
2013-10-23T00:00:00Z,Bott05,2,2.64,0,60,1,2,0.423245873936808,EB,2013,10,decas
2013-10-29T00:00:00Z,Jenn01,2,1.64,0,38,1,2,0.217483944213906,ST,2013,10,decas
2013-10-29T00:00:00Z,Jenn01,2,2.68,0,31,1,2,0.429752280002408,ST,2013,10,decas
2013-10-29T00:00:00Z,Jenn01,2,2.98,0,37,1,2,0.47567118832443,ST,2013,10,decas
2013-11-19T00:00:00Z,Luca02,2,25.91,0,34,1,2,1.41363499719856,HO,2013,11,decas
2013-11-19T00:00:00Z,Luca02,2,25.91,0,34,1,2,1.41363499719856,HO,2013,11,decas
2013-09-24T00:00:00Z,Olso01,2,22,0,35,1,2,1.34262004255335,BL,2013,9,decas
2013-11-04T00:00:00Z,Perr03,2,1.67,0,31,1,2,0.225309281725863,BL,2013,11,decas
2013-10-28T00:00:00Z,Pett02,2,3.7,0,37,1,2,0.569373909615046,HO,2013,10,decas
2013-10-29T00:00:00Z,Pett02,2,3.26,0,33,1,2,0.514547752660286,HO,2013,10,decas
2013-10-07T00:00:00Z,Bett01,3,12.89,0,32,1,2,1.11058971029925,ST,2013,10,decas
2013-10-07T00:00:00Z,Bett01,3,12.66,0,26,1,2,1.10277661488344,ST,2013,10,decas
2013-10-07T00:00:00Z,Bett01,3,12.66,0,26,1,2,1.10277661488344,ST,2013,10,decas
2013-10-03T00:00:00Z,Bott02,3,3.52,0,33,1,2,0.547774705387823,EB,2013,10,decas
2013-10-23T00:00:00Z,Chan01,3,6.48,0,40,1,2,0.812244696800369,ST,2013,10,decas
2013-10-25T00:00:00Z,Jenn01,3,0.34,0,39,1,2,-0.455931955649724,ST,2013,10,decas
2013-10-25T00:00:00Z,Jenn01,3,1.01,0,28,1,2,0.00860017176191757,ST,2013,10,decas
2013-10-25T00:00:00Z,Jenn01,3,1.01,0,28,1,2,0.00860017176191757,ST,2013,10,decas
2013-11-20T00:00:00Z,Luca02,3,14.7,0,34,1,2,1.16761267272753,HO,2013,11,decas
2013-11-20T00:00:00Z,Luca02,3,15.94,0,31,1,2,1.2027606873932,HO,2013,11,decas
2013-10-10T00:00:00Z,Olso01,3,2.26,0,23,1,2,0.356025857193123,ST,2013,10,decas
2013-10-10T00:00:00Z,Olso01,3,6.69,0,25,1,2,0.826074802700827,ST,2013,10,decas
2013-10-11T00:00:00Z,Pett02,3,13.97,0,36,1,2,1.14550717140966,ST,2013,10,decas
2013-10-12T00:00:00Z,Pett02,3,11,0,42,1,2,1.04178731897175,ST,2013,10,decas
2013-10-02T00:00:00Z,Bett01,4,8.99,0,29,1,2,0.954242509439325,ST,2013,10,decas
2013-10-20T00:00:00Z,Bott02,4,2.6,0,26,1,2,0.416640507338281,ST,2013,10,decas
2013-10-21T00:00:00Z,Bott02,4,0.38,0,38,1,2,-0.408935392973501,ST,2013,10,decas
2013-10-22T00:00:00Z,Bott02,4,0.08,0,25,1,2,-1.04575749056068,ST,2013,10,decas
2013-10-29T00:00:00Z,Bott05,4,7.7,0,45,1,2,0.887054378050957,EB,2013,10,decas
2013-10-09T00:00:00Z,Olso01,4,10.82,0,31,1,2,1.03462845662532,BL,2013,10,decas
2013-10-03T00:00:00Z,Bett01,5,19.07,0,34,1,2,1.28057837036808,ST,2013,10,decas
2013-10-03T00:00:00Z,Bett01,5,19.07,0,34,1,2,1.28057837036808,ST,2013,10,decas
2013-10-30T00:00:00Z,Bott05,5,3.58,0,72,1,2,0.555094448578319,EB,2013,10,decas
2013-10-30T00:00:00Z,Bett01,6,2.12,0,42,1,2,0.328379603438738,HO,2013,10,decas
2013-10-31T00:00:00Z,Bett01,6,5.41,0,47,1,2,0.733999286538387,HO,2013,10,decas
2013-11-01T00:00:00Z,Bett01,6,3.38,0,56,1,2,0.530199698203082,HO,2013,11,decas
2013-11-01T00:00:00Z,Bett01,6,2.33,0,51,1,2,0.369215857410143,HO,2013,11,decas
2013-11-01T00:00:00Z,Bett01,6,4.53,0,58,1,2,0.657055852857104,HO,2013,11,decas
2013-10-10T00:00:00Z,Olso01,7,7.85,0,33,1,2,0.895422546039408,ST,2013,10,decas
2013-10-10T00:00:00Z,Olso01,7,11.04,0,24,1,2,1.04336227802113,ST,2013,10,decas
2013-10-11T00:00:00Z,Olso01,7,12.69,0,31,1,2,1.10380372095596,ST,2013,10,decas
2013-10-11T00:00:00Z,Olso01,7,6.08,0,30,1,2,0.784617292632875,ST,2013,10,decas
2013-11-04T00:00:00Z,Bett01,9,3.99,0,51,1,2,0.602059991327962,HO,2013,11,decas
2013-11-04T00:00:00Z,Bett01,9,3.99,0,51,1,2,0.602059991327962,HO,2013,11,decas
2013-11-05T00:00:00Z,Bett01,9,3.9,0,41,1,2,0.592176757395867,HO,2013,11,decas
2013-11-05T00:00:00Z,Bett01,9,3.9,0,41,1,2,0.592176757395867,HO,2013,11,decas
2013-11-05T00:00:00Z,Bett01,9,5.72,0,45,1,2,0.75815462196739,HO,2013,11,decas
2013-10-09T00:00:00Z,Bett01,10,9.21,0,37,1,2,0.964730921053629,ST,2013,10,decas
2013-10-09T00:00:00Z,Bett01,10,9.21,0,37,1,2,0.964730921053629,ST,2013,10,decas
2013-10-11T00:00:00Z,Bett01,11,9.26,0,44,1,2,0.967079734144497,ST,2013,10,decas
2013-10-19T00:00:00Z,Bott02,11,10.44,0,41,1,2,1.01911629044707,ST,2013,10,decas
2013-10-18T00:00:00Z,Kopa01,11,8.16,0,22,1,2,0.912222056532416,ST,2013,10,decas
2013-10-08T00:00:00Z,Bott02,13,3.2,0,28,1,2,0.506505032404872,EB,2013,10,decas
2013-10-09T00:00:00Z,Bott02,13,4.28,0,30,1,2,0.632457292184724,EB,2013,10,decas
2013-10-09T00:00:00Z,Bott02,13,8.05,0,27,1,2,0.906335041805091,EB,2013,10,decas
2013-11-08T00:00:00Z,Bott02,15,4.2,0,41,1,2,0.624282095835668,HO,2013,11,decas
2013-11-18T00:00:00Z,Bott02,21,3.09,0,41,1,2,0.491361693834273,ST,2013,11,decas
2013-11-11T00:00:00Z,Bott02,23,1.72,0,58,1,2,0.238046103128795,ST,2013,11,decas
2013-11-11T00:00:00Z,Bott02,23,1.72,0,58,1,2,0.238046103128795,ST,2013,11,decas
2013-10-16T00:00:00Z,Smit02,1-Mar,3.1,0,28,1,2,0.492760389026838,ST,2013,10,decas
2013-10-18T00:00:00Z,Smit02,2-Mar,4.77,0,35,1,2,0.679427896612119,ST,2013,10,decas
2013-10-18T00:00:00Z,Smit02,2-Mar,6.95,0,44,1,2,0.842609239610562,ST,2013,10,decas
2013-10-19T00:00:00Z,Smit02,4-Mar,2.35,0,37,1,2,0.372912002970107,ST,2013,10,decas
2013-10-19T00:00:00Z,Smit02,4-Mar,2.35,0,37,1,2,0.372912002970107,ST,2013,10,decas
2013-10-19T00:00:00Z,Smit02,4-Mar,5.27,0,33,1,2,0.722633922533812,ST,2013,10,decas
2013-10-18T00:00:00Z,Pike01,#1,15.1,0,45,1,2,1.17926446433903,ST,2013,10,decas
2013-10-19T00:00:00Z,Pike01,#1,13.43,0,30,1,2,1.12839926871781,ST,2013,10,decas
2013-09-12T00:00:00Z,Reze02,#1,5.27,0,15,1,2,0.722633922533812,BL,2013,9,decas
2013-09-13T00:00:00Z,Reze02,#1,5.27,0,15,1,2,0.722633922533812,BL,2013,9,decas
2013-10-26T00:00:00Z,Ryco01,#1,9.9,0,37,1,2,0.996073654485275,ST,2013,10,decas
2013-11-18T00:00:00Z,Wain01,#1,2.56,0,54,1,2,0.409933123331295,ST,2013,11,decas
2013-11-01T00:00:00Z,Wain03,#1,3.05,0,45,1,2,0.48572142648158,ST,2013,11,decas
2013-11-01T00:00:00Z,Wain03,#1,3.05,0,45,1,2,0.48572142648158,ST,2013,11,decas
2013-11-01T00:00:00Z,Wain03,#1,2.7,0,58,1,2,0.432969290874406,ST,2013,11,decas
2013-10-15T00:00:00Z,Ward01,#1,4.09,0,49,1,2,0.612783856719736,EB,2013,10,decas
2013-10-25T00:00:00Z,Ward01,#1,7.39,0,23,1,2,0.869231719730976,HO,2013,10,decas
2013-10-08T00:00:00Z,Reze02,#10,4.6,0,28,1,2,0.663700925389648,ST,2013,10,decas
2013-10-08T00:00:00Z,Reze02,#10,4.6,0,28,1,2,0.663700925389648,ST,2013,10,decas
2013-10-09T00:00:00Z,Reze02,#11,4.01,0,62,1,2,0.60422605308447,ST,2013,10,decas
2013-10-10T00:00:00Z,Reze02,#11,4.4,0,29,1,2,0.644438589467839,ST,2013,10,decas
2013-10-10T00:00:00Z,Reze02,#11,4.4,0,29,1,2,0.644438589467839,ST,2013,10,decas
2013-10-08T00:00:00Z,Reze02,#12,3.74,0,24,1,2,0.574031267727719,ST,2013,10,decas
