grower_id,deliver_date,Bog,LotID,GTL,Rot,Debris,Color,Variety,GTL ,Lot Pack Out,Pack Out %,Useable w3% allow
Ashl02,9/26/2014,6 E,"2,452",3134,3.72,0,27,BL,"46,180","43,636",94.49%,"43,636"
Ashl02,9/26/2014,6 E,"2,452",3137,3.72,0,27,BL,"41,600","39,308",94.49%,"39,308"
Alle02,10/9/2014,C-3,"2,575",3305,2.89,0,26,ST,"41,820","39,778",95.12%,"39,778"
Alle02,10/9/2014,C-3,"2,580",3310,0.63,0,31,ST,"10,700","10,326",96.50%,"10,326"
Deca01,9/18/2014,MP10,"2,440",3119,2,0,26,EB,"24,560","22,979",93.56%,"22,979"
Reze02,9/19/2014,#1,"2,442",3121,0.9,0,14,BL,"44,020","42,741",97.09%,"42,741"
Reze02,9/19/2014,#1,"2,443",3122,0.6,0,12,BL,"29,380","28,488",96.96%,"28,488"
Reze02,9/19/2014,#3,"2,444",3123,0.65,0,16,BL,"45,000","43,822",97.38%,"43,822"
Reze02,9/19/2014,#3,"2,444",3124,0.65,0,16,BL,"20,980","20,431",97.38%,"20,431"
Deca03,9/22/2014,ZPD,"2,445",3125,0,0,,PD,"8,040","7,998",99.48%,"7,998"
Deca03,9/22/2014,ZPD,"2,445",3126,0,0,,PD,"12,180","12,116",99.48%,"12,116"
Deca03,9/22/2014,ZPD,"2,445",3127,0,0,,PD,"1,700","1,691",99.48%,"1,691"
Deca03,9/24/2014,ZPD,"2,447",3129,0,0,,PD,"12,500","12,427",99.42%,"12,427"
Hann01,9/24/2014,D9,"2,446",3128,1.34,0,40,BL,"39,500","38,084",96.42%,"38,084"
Hann01,9/25/2014,D10,"2,449",3131,1.2,0,30,BL,"29,040","28,520",98.21%,"28,520"
Hann03,9/25/2014,MEL A6,"2,448",3130,1.1,0,28,BL,"19,600","18,888",96.37%,"18,888"
Ashl02,9/26/2014,6 E,"2,452",3139,3.72,0,27,BL,"46,120","43,579",94.49%,"43,579"
Ashl02,9/26/2014,6 E,"2,458",3143,1,0,22,BL,"38,340","36,767",95.90%,"36,767"
Hann01,9/26/2014,D5,"2,450",3132,0.5,0,32,EB,"13,600","13,144",96.65%,"13,144"
Hann01,9/26/2014,D3,"2,451",3133,1.4,0,33,BL,"54,620","51,931",95.08%,"51,931"
Hann01,9/26/2014,D3,"2,451",3136,1.4,0,33,BL,"23,320","22,172",95.08%,"22,172"
Hann01,9/26/2014,D4,"2,455",3140,0.57,0,23,BL,"31,800","31,026",97.57%,"31,026"
Hann01,9/26/2014,D8,"2,457",3142,0.7,0,35,EB,"19,900","18,992",95.44%,"18,992"
Hann01,9/26/2014,D6,"2,459",3144,1.09,0,24,EB,"10,700","10,175",95.09%,"10,175"
Reze02,9/26/2014,#7,"2,453",3135,0,0,31,BL,"51,300","49,611",96.71%,"49,611"
Reze02,9/26/2014,#7,"2,454",3138,0.8,0,28,BL,"44,800","43,488",97.07%,"43,488"
Reze02,9/26/2014,#7,"2,456",3141,0.7,0,22,BL,"30,000","29,066",96.89%,"29,066"
Hann01,9/27/2014,D7,"2,460",3145,0.5,0,21,EB,"38,600","36,936",95.69%,"36,936"
Reze02,9/27/2014,#8,"2,462",3147,0.61,0,25,BL,"52,260","50,980",97.55%,"50,980"
Reze02,9/27/2014,#8,"2,462",3149,0.61,0,25,BL,"45,780","44,659",97.55%,"44,659"
Reze02,9/27/2014,#8,"2,462",3151,0.61,0,25,BL,"42,680","41,635",97.55%,"41,635"
Shur02,9/27/2014,1,"2,461",3146,1.63,0,26,MX,"18,340","17,030",92.86%,"17,030"
Shur02,9/27/2014,1,"2,463",3148,2.9,0,33,MX,"21,820","20,488",93.90%,"20,488"
Shur02,9/27/2014,1,"2,464",3150,2.3,0,26,MX,"19,020","17,246",90.67%,"17,246"
Shur02,9/27/2014,1,"2,465",3152,5.53,0,13,MX,"22,180","19,939",89.89%,"19,434"
Shur02,9/27/2014,1,"2,465",3153,5.53,0,13,MX,"19,500","17,529",89.89%,"17,086"
Deca03,9/29/2014,ZPD,"2,467",3155,0,0,,PD,"1,080","1,041",96.39%,"1,041"
Deca03,9/29/2014,ZPD,"2,470",3160,0,0,,PD,"2,520","2,485",98.62%,"2,485"
Deca03,9/29/2014,ZPD,"2,470",3171,0,0,,PD,"1,900","1,874",98.62%,"1,874"
Hann01,9/29/2014,D14,"2,474",3164,0.3,0,31,BL,"24,740","24,014",97.07%,"24,014"
Hann01,9/29/2014,D13,"2,479",3172,2.18,0,26,BL,"16,660","16,119",96.75%,"16,119"
Kopl02,9/29/2014,B-10,"2,471",3161,3.15,0,22,ST,"40,720","39,388",96.73%,"39,388"
Kopl02,9/29/2014,B-10,"2,472",3162,3.15,0,22,ST,"50,460","48,367",95.85%,"48,367"
Kopl02,9/29/2014,B-10,"2,472",3166,3.15,0,22,ST,"38,580","36,979",95.85%,"36,979"
Kopl02,9/29/2014,B-10,"2,478",3170,1.93,0,24,ST,"50,180","48,929",97.51%,"48,929"
Kopl02,9/29/2014,B-10,"2,481",3174,1.76,0,21,ST,"39,140","37,634",96.15%,"37,634"
Pime01,9/29/2014,house,"2,469",3159,3.32,0,41,EB,"6,760","6,388",94.50%,"6,388"
Pink02,9/29/2014,#12,"2,475",3165,1.01,0,38,BL,"39,520","38,792",98.16%,"38,792"
Pink02,9/29/2014,#15,"2,477",3168,5.9,0,26,BL,"26,640","25,067",94.10%,"24,340"
Pink02,9/29/2014,#15,"2,480",3173,5.16,0,27,BL,"12,060","11,503",95.38%,"11,255"
Reze02,9/29/2014,#4,"2,468",3158,3.89,0,27,BL,"55,900","53,613",95.91%,"53,613"
Reze02,9/29/2014,#4,"2,473",3163,0.5,0,32,BL,"45,040","43,480",96.54%,"43,480"
Reze02,9/29/2014,#4,"2,476",3167,2.42,0,32,BL,"56,020","54,511",97.31%,"54,511"
Reze02,9/29/2014,#4,"2,476",3169,2.42,0,32,BL,"10,320","10,042",97.31%,"10,042"
