grower_id,deliver_date,Bog,LotID,GTL,Rot,Debris,Color,Variety,GTL ,Lot Pack Out,Pack Out %,"Useable 
w 3 % Allow",kqf_pre,kqf_final
Deca01,9/22/2016,MP10,"3,654",4979,12.1,0,35,SK,"3,880","3,699",95.34%,"3,362",1,2
Deca01,9/22/2016,MP9,"3,655",4980,13.5,0,39,SK,"25,380","24,557",96.76%,"21,979",1,2
Reze02,9/22/2016,#1,"3,656",4981,1.3,0,12,BL,"54,640","51,843",94.88%,"51,843",1,2
Reze02,9/22/2016,#1,"3,656",4982,1.3,0,12,BL,"29,580","28,066",94.88%,"28,066",1,2
Deca03,9/23/2016,ZPD,"3,658",4985,,,,PD,"3,160","3,057",96.75%,"3,057",1,2
Reze02,9/23/2016,#2,"3,657",4983,0.66,0,13,BL,"55,280","53,832",97.38%,"53,832",1,2
Reze02,9/23/2016,#2,"3,657",4984,0.66,0,13,BL,"51,940","50,580",97.38%,"50,580",1,2
Reze02,9/23/2016,#3,"3,659",4986,0.7,0,10,BL,"56,160","54,309",96.70%,"54,309",1,2
Reze02,9/23/2016,#3,"3,659",4987,0.7,0,10,BL,"30,060","29,070",96.70%,"29,070",1,2
Deca03,9/26/2016,ZPD,"3,658",4988,,,,PD,"9,340","9,037",96.75%,"9,037",1,2
Pime01,9/26/2016,house,"3,660",4989,10,0,23,EB,"19,820","17,261",87.09%,"16,052",1,2
Pime01,9/26/2016,house,"3,660",4990,10,0,23,EB,"1,220","1,062",87.09%,988,1,2
Deca03,9/27/2016,ZPD,"3,658",4991,,,,PD,"4,780","4,625",96.75%,"4,625",1,2
DeMo01,9/27/2016,6,"3,661",4992,7.7,0,17,OB,"38,320","36,189",94.44%,"34,488",1,2
DeMo01,9/28/2016,3,"3,662",4993,8.2,0,17,OB,"46,500","43,564",93.69%,"41,299",1,2
Deca03,9/29/2016,ZPD,"3,663",4995,,,,PD,"2,080","2,070",99.50%,"2,070",1,2
DeMo01,9/29/2016,3,"3,662",4994,8.2,0,17,OB,"33,580","31,460",93.69%,"29,824",1,2
Deca01,9/30/2016,CAR19,"3,665",4998,0.2,0,34,EB,"31,260","29,287",93.69%,"29,287",1,2
Deca03,9/30/2016,ZPD,"3,663",4997,,,,PD,"8,180","8,139",99.50%,"8,139",1,2
Hann01,9/30/2016,D9,"3,664",4996,2.5,0,37,BL,"43,720","42,142",96.39%,"42,142",1,2
Pink01,9/30/2016,BShant,"3,666",4999,15.7,0,19,EB,"16,000","14,441",90.25%,"12,607",1,2
Pink01,9/30/2016,BShant,"3,666",5000,15.7,0,19,EB,"17,180","15,505",90.25%,"13,536",1,2
Deca03,10/3/2016,ZPD,"3,673",5010,,,,PD,"10,120","9,979",98.61%,"9,979",1,2
Hann01,10/3/2016,D3,"3,669",5003,2.8,0,47,BL,"41,880","40,210",96.01%,"40,210",1,2
Hann01,10/3/2016,D3,"3,671",5007,0.8,0,72,BL,"56,900","54,443",95.68%,"54,443",1,2
Hann01,10/3/2016,D3,"3,671",5009,0.8,0,72,BL,"44,220","42,311",95.68%,"42,311",1,2
Medi01,10/3/2016,A3,"3,670",5005,1.9,0,23,BL,"10,140","9,655",95.22%,"9,655",1,2
Pink01,10/3/2016,BShant,"3,667",5001,3.5,0,17,EB,"15,800","14,877",94.16%,"14,803",1,2
Pink01,10/3/2016,3House,"3,672",5008,1.3,0,25,EB,"13,840","12,812",92.57%,"12,812",1,2
Reze02,10/3/2016,#6,"3,668",5002,1.23,0,20,BL,"53,420","51,965",97.28%,"51,965",1,2
Reze02,10/3/2016,#6,"3,668",5004,1.23,0,20,BL,"44,980","43,755",97.28%,"43,755",1,2
Reze02,10/3/2016,#6,"3,668",5006,1.23,0,20,BL,"43,620","42,432",97.28%,"42,432",1,2
Deca03,10/4/2016,ZPD,"3,673",5015,,,,PD,"3,220","3,175",98.61%,"3,175",1,2
