grower_id,Delivered,Bog,LotID,GTL,Rot,Debris,Color,Variety,GTL ,Lot Pack Out,Pack Out %,"Useable 
w 3 % Allow"
,Alle02,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,10/19/2017,C-7,"4,706",6374,3.41,0,21,ST,"52,080","49,891",95.80%,"49,686"
,,,,,,,,,,,,
,10/19/2017,C-3,"4,712",6382,1.97,0,25,ST,"26,860","25,745",95.85%,"25,745"
,,,,,,,,,,,,
,10/19/2017,C-3,"4,717",6388,2.54,0,30,ST,"51,240","48,750",95.14%,"48,750"
,,,,,,,,,,,,
,10/20/2017,C-1,"4,726",6399,0.97,0,30,EB,"52,580","49,833",94.78%,"49,833"
,,,,,,,,,,,,
,10/20/2017,C-3,"4,729",6402,4.41,0,23,EB,"20,740","19,605",94.53%,"19,329"
,,,,,,,,,,,,
,10/20/2017,C-2,"4,737",6413,3.61,0,28,EB,"52,180","49,987",95.80%,"49,682"
,,,,,,,,,,,,
,10/21/2017,C-5,"4,746",6425,4,0,20,EB,"51,120","46,565",91.09%,"46,099"
,,,,,,,,,,,,
,10/21/2017,C-4,"4,754",6434,1.95,0,24,HO,"28,580","25,996",90.96%,"25,996"
,,,,,,,,,,,,
,10/23/2017,C-8,"4,761",6448,3.4,0,27,HO,"52,920","49,000",92.59%,"48,804"
,,,,,,,,,,,,
,Ande01,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,10/24/2017,A-4,,,,,,ST,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Beat01,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,10/9/2017,Corwin,"4,519",6140,1.2,0,42,EB,"28,040","25,684",91.60%,"25,684"
,,,,,,,,,,,,
,10/28/2017,Lowspl,"4,839",6543,5.06,0,27,HO,"24,100","20,749",86.10%,"20,322"
,,,,,,,,,,,,
,11/4/2017,Upspl,"4,893",6621,12.4,0,32,HO,"3,320","2,609",78.58%,"2,364"
,,,,,,,,,,,,
,Bett01,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,10/27/2017,5,"4,824",6522,5.67,0,22,ST,"51,200","46,898",91.60%,"45,646"
,,,,,,,,,,,,
,10/27/2017,5,"4,826",6525,1.83,0,28,ST,"51,400","48,081",93.54%,"48,081"
,,,,,,,,,,,,
,10/27/2017,5,"4,827",6527,6.8,0,24,ST,"51,280","45,525",88.78%,"43,795"
,,,,,,,,,,,,
,10/27/2017,5,"4,831",6531,3.3,0,32,ST,"52,920","49,438",93.42%,"49,438"
,,,,,,,,,,,,
,10/28/2017,4,"4,835",6536,6.53,0,35,ST,"44,740","40,967",91.57%,"39,521"
,,,,,,,,,,,,
,10/28/2017,4,"4,835",6539,6.53,0,35,ST,"51,640","47,286",91.57%,"45,616"
,,,,,,,,,,,,
,10/28/2017,3,"4,838",6542,5.84,0,30,ST,"48,940","45,613",93.20%,"44,318"
,,,,,,,,,,,,
,10/28/2017,3,"4,838",6544,5.84,0,30,ST,"47,600","44,365",93.20%,"43,105"
,,,,,,,,,,,,
,10/28/2017,3,"4,840",6546,4.97,0,34,ST,"49,880","45,606",91.43%,"44,708"
,,,,,,,,,,,,
,10/28/2017,3,"4,840",6547,4.97,0,34,ST,"39,660","36,262",91.43%,"35,547"
,,,,,,,,,,,,
,10/30/2017,9,"4,844",6548,6.73,0,25,HO,"52,240","47,020",90.01%,"45,267"
,,,,,,,,,,,,
,10/30/2017,9,"4,844",6549,6.73,0,25,HO,"52,000","46,804",90.01%,"45,059"
,,,,,,,,,,,,
,10/30/2017,9,"4,844",6552,6.73,0,25,HO,"25,540","22,988",90.01%,"22,131"
,,,,,,,,,,,,
,10/30/2017,9,"4,847",6550,9,0,24,HO,"51,800","43,362",83.71%,"40,760"
,,,,,,,,,,,,
,10/30/2017,9,"4,848",6551,6.81,0,32,HO,"52,240","46,270",88.57%,"44,507"
,,,,,,,,,,,,
,10/30/2017,7A,"4,849",6562,5.4,0,30,ST,"49,920","45,201",90.55%,"44,116"
,,,,,,,,,,,,
,10/30/2017,7A,"4,853",6557,4.68,0,30,ST,"49,620","46,080",92.87%,"45,306"
,,,,,,,,,,,,
,10/30/2017,7A,"4,853",6561,4.68,0,30,ST,"49,320","45,801",92.87%,"45,032"
,,,,,,,,,,,,
,10/30/2017,7A,"4,853",6564,4.68,0,30,ST,"49,020","45,523",92.87%,"44,758"
,,,,,,,,,,,,
,10/31/2017,7A,"4,853",6565,4.68,0,30,ST,"49,640","46,099",92.87%,"45,324"
,,,,,,,,,,,,
,10/31/2017,7A,"4,853",6568,4.68,0,30,ST,"25,920","24,071",92.87%,"23,666"
