grower_id,deliver_date,GTLID,BogID,Variety,LotID,# Totes,"Ave Bin 
Wgt.",Color,Rot,NetWeight
Ashl04,10/17/2018,1679,Ash H,HO,1164,30,298,1,5.29,"8,950"
Ashl04,10/19/2018,1706,Ash H,HO,1181,32,295,1,3.98,"9,432"
Ashl04,10/19/2018,1709,Ash H,HO,1181,30,300,2,4.06,"8,990"
Ashl04,10/19/2018,1715,Ash H,HO,1181,16,295,1,4.22,"4,716"
Bott02,10/14/2018,1667,12,ORST,1153,78,217,2,10.46,"16,918"
Bott02,10/20/2018,1726,10,ORST,1193,78,245,3,1,"19,098"
Bott02,10/20/2018,1727,10,ORST,1193,78,227,3,1.99,"17,698"
Bott02,10/25/2018,1740,10,ORST,1204,36,237,2,2.78,"8,536"
Brig02,10/8/2018,1646,Briggs,EB,1137,18,267,2,5.03,"4,798"
Brig02,10/11/2018,1661,Briggs,EB,1149,18,279,2,5.12,"5,018"
Brig02,10/11/2018,1664,Briggs,EB,1149,11,246,2,1.94,"2,701"
Brig02,10/17/2018,1675,Briggs,EB,1161,9,240,2,4.83,"2,159"
Brig02,10/18/2018,1687,Briggs,EB,1170,18,263,2,8.06,"4,738"
Brig02,10/19/2018,1712,Briggs,EB,1184,7,248,2,8.41,"1,737"
Brig02,10/18/2018,1697,Briggs,HO,1176,18,273,2,5.6,"4,918"
Brig02,10/19/2018,1713,Briggs,HO,1185,5,287,2,4.12,"1,435"
Brig02,10/26/2018,1742,Briggs,HO,1206,15,284,2,5.5,"4,265"
Brig02,11/5/2018,1800,Briggs,HO,1238,18,284,2,5.4,"5,118"
Brig02,11/8/2018,1814,Briggs,HO,1245,18,273,2,15.18,"4,918"
Brig02,11/11/2018,1839,Briggs,HO,1260,17,284,2,22.09,"4,827"
Cerv01,10/27/2018,1745,BOG #2,HO,1209,32,249,2,5.64,"7,952"
Cerv01,10/27/2018,1746,BOG #2,HO,1209,50,279,2,2.56,"13,950"
Cerv01,11/2/2018,1786,BOG #3,HO,1231,39,258,2,11.89,"10,049"
Cerv01,11/12/2018,1841,BOG #3,HO,1261,15,180,2,14.57,"2,705"
Cerv02,10/18/2018,1689,1,HO,1171,49,280,1,6.47,"13,719"
Cerv02,10/19/2018,1717,1,HO,1187,50,283,2,3.15,"14,150"
Cerv02,10/20/2018,1719,1,HO,1189,50,287,2,1.72,"14,370"
Cerv02,10/23/2018,1736,1,HO,1200,13,263,2,2.44,"3,423"
Cham03,10/10/2018,1650,A 1,ORHO,1141,146,217,2,2.97,"31,666"
Conw02,10/18/2018,1682,3,HO,1165,42,303,2,0.91,"12,742"
Conw02,10/19/2018,1702,1,HO,1177,24,295,2,1.03,"7,084"
Conw02,10/19/2018,1703,3,HO,1178,18,285,2,1.31,"5,138"
Conw02,10/20/2018,1718,1,HO,1188,42,286,2,1.58,"12,022"
Conw02,10/20/2018,1724,1,HO,1188,42,290,2,3.26,"12,162"
Conw02,10/25/2018,1739,2,HO,1203,42,306,2,4.3,"12,862"
Conw02,10/26/2018,1743,2,HO,1207,42,310,2,23.07,"13,022"
Conw02,10/29/2018,1749,2,HO,1212,36,312,2,27.63,"11,236"
Conw02,11/5/2018,1789,5,ST,1234,30,283,2,22.16,"8,490"
Conw02,11/5/2018,1793,5,ST,1234,17,279,2,16.18,"4,747"
Coul01,10/11/2018,1666,HARW,HO,1152,132,298,2,5.67,"39,392"
Coul01,10/20/2018,1720,HARW,HO,1190,74,284,2,7.73,"21,034"
Dage01,10/6/2018,1624,3,HO,1126,24,304,2,2.34,"7,284"
Dage01,10/10/2018,1654,3,HO,1144,24,296,2,1.58,"7,104"
Dage01,10/11/2018,1663,2,HO,1150,24,295,2,1.68,"7,084"
Dage01,10/11/2018,1665,1,HO,1151,24,299,2,5.3,"7,164"
Dage01,10/16/2018,1671,3,HO,1157,24,299,2,1.89,"7,164"
Dage01,10/17/2018,1674,3,HO,1160,24,294,2,1.58,"7,064"
Dage01,10/20/2018,1721,2,HO,1191,24,299,2,4.6,"7,184"
Dage01,10/20/2018,1722,2,HO,1191,24,293,2,2.27,"7,024"
Dage01,10/20/2018,1723,2,HO,1191,24,297,2,2.82,"7,124"
Dage01,10/26/2018,1744,1,HO,1208,24,294,2,5.73,"7,064"
Dage01,10/31/2018,1766,1,HO,1220,24,278,2,10.4,"6,664"
Dage01,10/31/2018,1768,1,HO,1222,14,278,2,10.24,"3,894"
Deca01,9/22/2018,1591,STU2,EB,1111,84,227,2,3.44,"19,044"
Deca01,9/22/2018,1592,STU2,EB,1111,84,228,2,4.34,"19,144"
Deca01,9/22/2018,1593,STU2,EB,1111,84,213,2,3.44,"17,884"
Deca01,9/22/2018,1594,STU2,EB,1111,84,220,2,4.02,"18,444"
Deca01,9/22/2018,1595,STU2,EB,1111,84,212,2,2.07,"17,824"
Deca01,9/22/2018,1596,STU2,EB,1111,84,217,2,6.48,"18,204"
Deca01,9/23/2018,1597,STU2,EB,1112,84,198,2,2.27,"16,604"
Deca01,9/23/2018,1598,STU2,EB,1112,84,204,2,3.11,"17,104"
Deca01,9/23/2018,1599,STU2,EB,1112,84,197,2,2.56,"16,524"
Deca01,9/23/2018,1600,STU2,EB,1112,84,215,2,1.95,"18,024"
Deca01,9/23/2018,1601,STU2,EB,1112,84,207,2,1.94,"17,424"
Deca01,9/24/2018,1603,STU2,EB,1114,84,210,2,2.19,"17,664"
Deca01,9/24/2018,1604,STU2,EB,1114,84,220,2,2.2,"18,444"
Deca01,9/24/2018,1605,STU2,EB,1114,84,218,2,2.2,"18,304"
Deca01,9/24/2018,1606,STU2,EB,1114,66,213,2,3.08,"14,086"
Deca01,9/30/2018,1609,STU1,EB,1116,45,243,2,3.7,"10,935"
Deca01,9/30/2018,1610,STU3B,EB,1117,66,226,2,4.83,"14,946"
Deca01,9/30/2018,1611,STU3B,EB,1117,84,213,2,3,"17,884"
Deca01,9/30/2018,1612,STU3B,EB,1117,84,214,2,4.67,"17,984"
Deca01,9/30/2018,1613,STU3B,EB,1117,30,212,2,2.24,"6,350"
Deca01,10/7/2018,1628,CAR19,EB,1130,84,244,2,2.67,"20,484"
Deca01,10/7/2018,1631,STU3B,EB,1133,84,228,2,4.44,"19,164"
Deca01,10/7/2018,1632,STU3B,EB,1133,84,223,2,3.3,"18,704"
Deca01,10/7/2018,1633,STU3B,EB,1133,84,234,2,2.66,"19,644"
Deca01,10/7/2018,1635,STU3B,EB,1133,75,219,2,1.51,"16,425"
Deca01,10/7/2018,1636,CAR14,EB,1134,84,229,2,2.39,"19,224"
Deca01,10/7/2018,1637,CAR14,EB,1134,24,246,2,2.89,"5,904"
Deca01,10/7/2018,1638,CAR19,EB,1130,84,235,2,2.73,"19,744"
Deca01,10/7/2018,1639,CAR19,EB,1130,36,238,2,3.63,"8,556"
Deca01,10/7/2018,1642,CAR11,HO,,84,,,,
Deca01,10/7/2018,1643,CAR11,HO,1136,84,224,1,10.18,"18,804"
Deca01,10/7/2018,1644,CAR11,HO,1136,84,218,1,11.6,"18,284"
Deca01,10/7/2018,1645,CAR11,HO,1136,33,223,1,11.98,"7,343"
Deca01,10/10/2018,1651,ROUN6,HO,1142,84,221,1,0.69,"18,564"
Deca01,10/10/2018,1653,ROUN6,HO,1142,84,219,1,1.53,"18,424"
Deca01,10/10/2018,1655,ROUN6,HO,1142,54,219,1,1.57,"11,834"
Deca01,10/10/2018,1656,ROUN6,HO,1142,84,234,1,1.44,"19,624"
Deca01,10/10/2018,1658,ROUN7,HO,1146,84,231,2,3.29,"19,444"
Deca01,10/17/2018,1677,STU6,HO,1163,84,236,2,1.38,"19,784"
Deca01,10/17/2018,1678,STU6,HO,1163,84,246,2,0.93,"20,664"
Deca01,10/17/2018,1680,STU6,HO,1163,84,219,2,1.46,"18,424"
Deca01,10/17/2018,1681,STU6,HO,1163,84,243,2,0.27,"20,424"
Deca01,10/18/2018,1690,STU6,HO,1172,84,246,2,1.6,"20,684"
Deca01,10/18/2018,1692,STU6,HO,1172,84,240,1,2.67,"20,184"
Deca01,10/18/2018,1693,STU3A,HO,1174,84,200,1,4.3,"16,784"
Deca01,10/18/2018,1696,STU3A,HO,1174,84,204,2,1.83,"17,164"
Deca01,10/18/2018,1699,STU3A,HO,1174,84,236,1,3.08,"19,784"
Deca01,10/18/2018,1700,STU3A,HO,1174,84,207,2,1.8,"17,424"
Deca01,10/18/2018,1701,STU3A,HO,1174,36,232,2,0.97,"8,356"
Deca01,10/30/2018,1754,CLAP1,HO,1214,84,234,2,0.9,"19,624"
Deca01,10/30/2018,1756,CLAP1,HO,1214,84,245,2,0.7,"20,584"
Deca01,10/30/2018,1758,CLAP1,HO,1214,18,249,2,0.5,"4,478"
Deca01,10/30/2018,1760,CLAP6,HO,1217,84,251,2,0.98,"21,124"
Deca01,10/30/2018,1761,CLAP6,HO,1217,84,249,2,0.84,"20,924"
Deca01,10/30/2018,1762,CLAP5,HO,1217,84,246,2,0.73,"20,624"
Deca01,10/30/2018,1763,CLAP5,HO,1217,63,223,2,1.55,"14,073"
Deca01,10/31/2018,1767,CLAP4,HO,1221,84,230,2,0.71,"19,344"
Deca01,10/31/2018,1769,CLAP4,HO,1221,84,237,2,2.26,"19,944"
Deca01,10/31/2018,1770,CLAP3,HO,1223,84,238,2,4.68,"20,004"
Deca01,10/31/2018,1771,CLAP3,HO,1223,15,223,2,3.33,"3,345"
Deca01,10/31/2018,1772,CLAP3,HO,1223,84,220,2,3.33,"18,504"
Deca01,11/1/2018,1774,CLAP3,HO,1225,84,209,2,8.13,"17,564"
Deca01,11/1/2018,1775,CLAP3,HO,1225,84,191,2,7.67,"16,044"
Deca01,11/1/2018,1776,CLAP3,HO,1225,30,216,2,2.09,"6,490"
Deca01,11/1/2018,1777,CLAP2,HO,1226,54,198,2,3.04,"10,694"
Deca01,11/1/2018,1780,CLAP2,HO,1226,84,180,2,6.19,"15,124"
Deca01,11/1/2018,1782,CLAP2,HO,1226,84,185,2,11.66,"15,504"
Deca01,11/1/2018,1783,CLAP2,HO,1226,78,215,2,7.91,"16,758"
Deca01,11/5/2018,1792,CLAP2,HO,1236,75,218,2,5.72,"16,325"
Deca01,11/5/2018,1794,STU3A,HO,1237,84,204,2,17.35,"17,144"
Deca01,11/5/2018,1795,STU3A,HO,1237,84,192,2,19.32,"16,104"
Deca01,11/5/2018,1796,STU3A,HO,1237,84,194,2,14.32,"16,304"
Deca01,11/5/2018,1797,STU3A,HO,1237,33,171,2,28.26,"5,643"
Deca01,11/5/2018,1804,STU3A,HO,1237,84,202,2,17.9,"16,944"
Deca01,11/5/2018,1805,STU3A,HO,1237,84,193,2,19.18,"16,224"
Deca01,11/5/2018,1806,STU3A,HO,1237,15,184,2,23.55,"2,765"
Deca01,11/8/2018,1809,Tink1,HO,1244,84,229,2,3.13,"19,224"
Deca01,11/8/2018,1810,Tink1,HO,1244,84,223,2,5.8,"18,704"
Deca01,11/8/2018,1811,Tink1,HO,1244,84,226,2,2.41,"18,944"
Deca01,11/8/2018,1812,Tink1,HO,1244,84,225,2,2.72,"18,884"
Deca01,11/8/2018,1813,Tink1,HO,1244,84,218,2,3.3,"18,304"
Deca01,11/8/2018,1815,Tink2,HO,1246,84,220,2,3.55,"18,464"
Deca01,11/8/2018,1816,Tink1,HO,1244,84,210,2,2.92,"17,624"
Deca01,11/9/2018,1819,Tink3,HO,1249,66,224,2,2.93,"14,766"
