"","grower_id","date","bog","rot","debris","color","variety","kqf_pre","kqf_final"
"1","Bett01","10/16/2013","1",5,0,37,"MX",1,2
"2","Bett01","10/16/2013","1",4.54,0,41,"MX",1,2
"3","Bett01","10/17/2013","1",4.91,0,28,"MX",1,2
"4","Bett01","10/17/2013","1",5,0,44,"MX",1,2
"5","Bott05","10/23/2013","1",1.53,0,58,"EB",1,2
"6","Chan01","10/22/2013","1",2.22,0,53,"ST",1,2
"7","Jenn01","10/31/2013","1",1.23,0,40,"HO",1,2
"8","Jenn01","10/31/2013","1",1.23,0,40,"HO",1,2
"9","Luca02","11/18/2013","1",9.34,0,36,"HO",1,2
"10","Olso01","9/23/2013","1",15.5,0,35,"BL",1,2
"11","Pett02","10/5/2013","1",15,0,27,"BL",1,2
"12","Pett02","10/6/2013","1",15,0,30,"BL",1,2
"13","Bott02","10/2/2013","2",6.17,0,24,"ST",1,2
"14","Bott05","10/23/2013","2",2.64,0,60,"EB",1,2
"15","Jenn01","10/29/2013","2",1.64,0,38,"ST",1,2
"16","Jenn01","10/29/2013","2",2.68,0,31,"ST",1,2
"17","Jenn01","10/29/2013","2",2.98,0,37,"ST",1,2
"18","Luca02","11/19/2013","2",25.91,0,34,"HO",1,2
"19","Luca02","11/19/2013","2",25.91,0,34,"HO",1,2
"20","Olso01","9/24/2013","2",22,0,35,"BL",1,2
"21","Perr03","11/4/2013","2",1.67,0,31,"BL",1,2
"22","Pett02","10/28/2013","2",3.7,0,37,"HO",1,2
"23","Pett02","10/29/2013","2",3.26,0,33,"HO",1,2
"24","Bett01","10/7/2013","3",12.89,0,32,"ST",1,2
"25","Bett01","10/7/2013","3",12.66,0,26,"ST",1,2
"26","Bett01","10/7/2013","3",12.66,0,26,"ST",1,2
"27","Bott02","10/3/2013","3",3.52,0,33,"EB",1,2
"28","Chan01","10/23/2013","3",6.48,0,40,"ST",1,2
"29","Jenn01","10/25/2013","3",0.34,0,39,"ST",1,2
"30","Jenn01","10/25/2013","3",1.01,0,28,"ST",1,2
"31","Jenn01","10/25/2013","3",1.01,0,28,"ST",1,2
"32","Luca02","11/20/2013","3",14.7,0,34,"HO",1,2
"33","Luca02","11/20/2013","3",15.94,0,31,"HO",1,2
"34","Olso01","10/10/2013","3",2.26,0,23,"ST",1,2
"35","Olso01","10/10/2013","3",6.69,0,25,"ST",1,2
"36","Pett02","10/11/2013","3",13.97,0,36,"ST",1,2
"37","Pett02","10/12/2013","3",11,0,42,"ST",1,2
"38","Bett01","10/2/2013","4",8.99,0,29,"ST",1,2
"39","Bott02","10/20/2013","4",2.6,0,26,"ST",1,2
"40","Bott02","10/21/2013","4",0.38,0,38,"ST",1,2
"41","Bott02","10/22/2013","4",0.08,0,25,"ST",1,2
"42","Bott05","10/29/2013","4",7.7,0,45,"EB",1,2
"43","Olso01","10/9/2013","4",10.82,0,31,"BL",1,2
"44","Bett01","10/3/2013","5",19.07,0,34,"ST",1,2
"45","Bett01","10/3/2013","5",19.07,0,34,"ST",1,2
"46","Bott05","10/30/2013","5",3.58,0,72,"EB",1,2
"47","Bett01","10/30/2013","6",2.12,0,42,"HO",1,2
"48","Bett01","10/31/2013","6",5.41,0,47,"HO",1,2
"49","Bett01","11/1/2013","6",3.38,0,56,"HO",1,2
"50","Bett01","11/1/2013","6",2.33,0,51,"HO",1,2
"51","Bett01","11/1/2013","6",4.53,0,58,"HO",1,2
"52","Olso01","10/10/2013","7",7.85,0,33,"ST",1,2
"53","Olso01","10/10/2013","7",11.04,0,24,"ST",1,2
"54","Olso01","10/11/2013","7",12.69,0,31,"ST",1,2
"55","Olso01","10/11/2013","7",6.08,0,30,"ST",1,2
"56","Bett01","11/4/2013","9",3.99,0,51,"HO",1,2
"57","Bett01","11/4/2013","9",3.99,0,51,"HO",1,2
"58","Bett01","11/5/2013","9",3.9,0,41,"HO",1,2
"59","Bett01","11/5/2013","9",3.9,0,41,"HO",1,2
"60","Bett01","11/5/2013","9",5.72,0,45,"HO",1,2
"61","Bett01","10/9/2013","10",9.21,0,37,"ST",1,2
"62","Bett01","10/9/2013","10",9.21,0,37,"ST",1,2
