date,grower_id,Bog,LotID,GTL,Rot,Debris,Color,Variety,GTL.1,Pack Out %,kqf_pre,kqf_final,Lot Pack Out,Useable w3% allow,"Useable 
w 3 % Allow",GTLID,BogID,# Totes,"Ave Bin 
Wgt.",NetWeight
2012-09-13,Deca01,MP10,977,1201,,,,EB,20580,85.33%,,,,,,,,,,
2012-09-13,Deca01,MP9,978,1202,,,,EB,17560,82.65%,,,,,,,,,,
2012-09-13,Deca01,MP11,980,1204,,,,EB,20140,94.28%,,,,,,,,,,
2012-09-13,Reze02,#2,976,1200,,,,BL,50900,95.23%,,,,,,,,,,
2012-09-13,Reze02,#2,979,1203,,,,BL,38840,93.05%,,,,,,,,,,
2012-09-14,Deca01,CAR12,983,1207,,,,EB,33200,94.58%,,,,,,,,,,
2012-09-14,Deca01,CAR12,984,1208,,,,EB,34640,94.59%,,,,,,,,,,
2012-09-14,Deca01,CAR12,985,1209,,,,EB,17480,93.07%,,,,,,,,,,
2012-09-14,Reze02,#1,981,1205,,,,BL,50280,95.17%,,,,,,,,,,
2012-09-14,Reze02,#1,982,1206,,,,BL,26520,95.55%,,,,,,,,,,
2012-09-18,Bott02,2,987,1212,,,,ST,45660,97.35%,,,,,,,,,,
2012-09-18,Bott02,2,988,1213,,,,ST,12080,96.68%,,,,,,,,,,
2012-09-18,Reze02,#6,986,1210,,,,BL,49140,92.73%,,,,,,,,,,
2012-09-18,Reze02,#6,986,1211,,,,BL,24280,92.73%,,,,,,,,,,
2012-09-18,Reze02,#6,989,1214,,,,BL,48340,96.09%,,,,,,,,,,
2012-09-18,Reze02,#6,990,1215,,,,BL,25960,93.58%,,,,,,,,,,
2012-09-19,Deca01,CAR23,992,1217,,,,BL,37980,94.42%,,,,,,,,,,
2012-09-19,Deca01,CAR23,994,1219,,,,BL,32620,90.45%,,,,,,,,,,
2012-09-19,Deca01,CAR02,996,1221,,,,EB,23360,88.87%,,,,,,,,,,
2012-09-19,Hann01,D-15,995,1220,,,,BL,57580,95.46%,,,,,,,,,,
2012-09-19,Hann01,D-15,997,1222,,,,BL,29020,95.67%,,,,,,,,,,
2012-09-19,Hann01,D13,998,1223,,,,BL,19160,94.57%,,,,,,,,,,
2012-09-19,Reze02,#3,991,1216,,,,BL,48960,94.38%,,,,,,,,,,
2012-09-19,Reze02,#3,993,1218,,,,BL,38860,96.15%,,,,,,,,,,
2012-09-20,Bott02,5,"1,003",1228,,,,EB,36500,95.36%,,,,,,,,,,
2012-09-20,Bott02,5,"1,003",1229,,,,EB,16740,95.36%,,,,,,,,,,
2012-09-20,Bott03,E THOM,"1,011",1239,,,,OM,10620,98.91%,,,,,,,,,,
2012-09-20,Deca01,C AR01,"1,001",1226,,,,EB,39160,91.03%,,,,,,,,,,
2012-09-20,Deca01,C AR01,"1,004",1230,,,,EB,41000,91.32%,,,,,,,,,,
2012-09-20,Deca01,MP5,"1,008",1236,,,,ST,13540,90.71%,,,,,,,,,,
2012-09-20,Hann01,D10,999,1224,,,,BL,25440,96.83%,,,,,,,,,,
2012-09-20,Hann01,D-14,"1,000",1225,,,,BL,23160,95.04%,,,,,,,,,,
2012-09-20,Hann01,D4,"1,005",1231,,,,BL,57640,96.75%,,,,,,,,,,
2012-09-20,Hann01,D5,"1,006",1233,,,,EB,18820,95.16%,,,,,,,,,,
2012-09-20,Hann01,D3,"1,010",1238,,,,BL,50000,95.06%,,,,,,,,,,
2012-09-20,Hann01,D9,"1,012",1240,,,,BL,39020,94.50%,,,,,,,,,,
2012-09-20,Onse04,All,"1,009",1237,,,,ST,11640,85.38%,,,,,,,,,,
2012-09-20,Reze02,#7,"1,002",1227,,,,BL,50000,96.87%,,,,,,,,,,
2012-09-20,Reze02,#7,"1,002",1232,,,,BL,28780,96.87%,,,,,,,,,,
2012-09-20,Reze02,#7,"1,002",1234,,,,BL,49920,96.87%,,,,,,,,,,
2012-09-20,Reze02,#7,"1,007",1235,,,,BL,28420,95.31%,,,,,,,,,,
2012-09-21,Bott02,9,"1,020",1248,,,,EB,46460,93.79%,,,,,,,,,,
2012-09-21,Bott02,9,"1,024",1252,,,,EB,42280,93.99%,,,,,,,,,,
2012-09-21,Cerk01,CROSSN,"1,016",1244,,,,EB,9480,92.28%,,,,,,,,,,
2012-09-21,Deca01,MP4,"1,021",1249,,,,ST,17800,83.01%,,,,,,,,,,
2012-09-21,Hann01,D8,"1,014",1242,,,,EB,25200,96.57%,,,,,,,,,,
2012-09-21,Hann01,D6,"1,018",1246,,,,EB,18400,95.01%,,,,,,,,,,
2012-09-21,Hann01,D7,"1,022",1250,,,,EB,53420,95.21%,,,,,,,,,,
2012-09-21,Reze02,#8,"1,013",1241,,,,BL,50660,96.49%,,,,,,,,,,
2012-09-21,Reze02,#8,"1,015",1243,,,,BL,42220,94.04%,,,,,,,,,,
2012-09-21,Reze02,#8,"1,017",1245,,,,BL,49680,96.21%,,,,,,,,,,
2012-09-21,Reze02,#8,"1,019",1247,,,,BL,43560,96.31%,,,,,,,,,,
2012-09-21,Reze02,#4,"1,023",1251,,,,BL,49780,96.31%,,,,,,,,,,
2012-09-22,Deca03,ZPD,"1,025",1253,,,,PD,12560,99.12%,,,,,,,,,,
2012-09-22,Reze02,#4,"1,026",1254,,,,BL,49100,96.37%,,,,,,,,,,
2012-09-22,Reze02,#4,"1,026",1255,,,,BL,28680,96.37%,,,,,,,,,,
2012-09-22,Reze02,#4,"1,026",1256,,,,BL,49280,96.37%,,,,,,,,,,
2012-09-22,Reze02,#4,"1,027",1257,,,,BL,28680,96.24%,,,,,,,,,,
2012-09-22,Reze02,#4,"1,027",1259,,,,BL,18740,96.24%,,,,,,,,,,
2012-09-22,Reze02,#4,"1,028",1258,,,,BL,49520,94.36%,,,,,,,,,,
2012-09-24,Bott02,7,"1,032",1267,,,,EB,41700,98.00%,,,,,,,,,,
2012-09-24,Bott02,12,"1,041",1277,,,,ST,39820,98.21%,,,,,,,,,,
2012-09-24,Bott02,13,"1,043",1279,,,,EB,19520,93.80%,,,,,,,,,,
2012-09-24,Cerk01,CROSSN,"1,033",1268,,,,EB,9940,94.48%,,,,,,,,,,
2012-09-24,Cerk01,CROSSN,"1,038",1274,,,,EB,10400,93.62%,,,,,,,,,,
2012-09-24,Deca01,CAR03,"1,030",1265,,,,EB,39900,92.31%,,,,,,,,,,
2012-09-24,Deca01,CAR03,"1,034",1270,,,,EB,39600,90.87%,,,,,,,,,,
2012-09-24,Deca01,CAR03,"1,039",1275,,,,EB,29460,92.38%,,,,,,,,,,
2012-09-24,Deca03,ZPD,"1,025",1260,,,,PD,1640,99.12%,,,,,,,,,,
2012-09-24,Deca03,ZPD,"1,025",1261,,,,PD,9380,99.12%,,,,,,,,,,
2012-09-24,Deca03,ZPD,"1,025",1262,,,,PD,460,99.12%,,,,,,,,,,
2012-09-24,Deca03,ZPD,"1,025",1263,,,,PD,1040,99.12%,,,,,,,,,,
2012-09-24,Medi01,#3,"1,029",1264,,,,BL,7800,95.78%,,,,,,,,,,
2012-09-24,Medi01,#2,"1,035",1271,,,,EB,61740,96.46%,,,,,,,,,,
