site,rep,wt_p_berry,rot_pct,yield_acre_barrel,yield_ha_barrel,yield_ac_kg,yield_ac_lb,tacy,absorbance,log_rot,variety,year,month,data_source,treatment,kqf_final,kqf_pre,date,grower,bog,debris,color,avg_temp_f,tot_precip,ingredient
1,1,1.826615385,24.85549133,228.0405488,25549.08127,10343.7576,22804.05488,29,0.25,1.3955970451005,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
1,2,1.898318584,34.30232558,206.0009186,23079.81733,9344.0556,20600.09186,29,0.25,1.53545015414867,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
1,3,1.888,33.49753695,244.7695405,27423.35482,11102.5728,24476.95405,37,0.32,1.52514250517524,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
1,4,1.669180328,35.44973545,195.5621046,21910.27925,8870.5584,19556.21046,36,0.31,1.54973549119062,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
1,5,1.850520833,40,170.6030637,19113.93198,7738.434,17060.30637,17,0.15,1.602168551379,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
12,1,1.75755102,9.259259259,165.407665,18531.85277,7502.7744,16540.7665,20,0.17,0.967045029443031,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
12,2,1.964782609,16.66666667,216.987122,24310.68354,9842.382,21698.7122,24,0.21,1.22210924825055,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
12,3,1.814923077,5.797101449,226.5808434,25385.53961,10277.5464,22658.08434,19,0.16,0.763959413144749,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
12,4,1.714186047,11.03448276,212.3583195,23792.08432,9632.4228,21235.83195,15,0.13,1.04314538161643,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
12,5,2.031521739,26.4,179.486139,20109.16908,8141.364,17948.6139,21,0.18,1.42176840120692,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
13,1,2.081655172,27.86069652,289.8667533,32475.93149,13148.1504,28986.67533,15,0.13,1.44514782235567,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
13,2,2.102123894,28.93081761,228.1173754,25557.68873,10347.2424,22811.73754,16,0.14,1.46151079625419,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
13,3,2.111657143,13.36633663,354.8812617,39759.99113,16097.1624,35488.12617,12,0.1,1.12633718972352,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
13,4,2.146,13.51351351,329.7397576,36943.20115,14956.7616,32973.97576,12,0.1,1.1310895392216,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
13,5,2.10795082,5.426356589,246.9687018,27669.74324,11202.3252,24696.87018,12,0.1,0.735307935837471,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
14,1,1.637477477,20.14388489,174.5500301,19556.14003,7917.4656,17455.00301,14,0.12,1.30435877373605,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
14,2,1.488070175,17.98561151,162.9108006,18252.11045,7389.5184,16291.08006,14,0.12,1.25516660902762,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
14,3,1.584931507,37.06896552,111.110467,12448.53324,5039.892,11111.0467,12,0.1,1.56912760909644,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
14,4,1.577818182,25.17006803,166.6753038,18673.87579,7560.2736,16667.53038,12,0.1,1.40105689912425,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
14,5,1.605656566,30.28169014,152.6544497,17103.01507,6924.2976,15265.44497,13,0.11,1.4813235056867,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
17,1,1.769888889,21.05263158,152.9713595,17138.52083,6938.6724,15297.13595,16,0.14,1.3235126312974,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
17,2,1.78875,15.78947368,109.9388614,12317.26954,4986.7488,10993.88614,10,0.09,1.19864261975955,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
17,3,1.571428571,20.6185567,116.2002291,13018.7772,5270.76,11620.02291,16,0.14,1.31446884313781,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
17,4,1.882300885,25.16556291,204.2627168,22885.07364,9265.212,20426.27168,10,0.09,1.40097918988995,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
17,5,1.732736842,22.76422764,158.0803282,17710.91665,7170.4116,15808.03282,14,0.12,1.35744365733005,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
18,1,1.958651685,5.319148936,334.810313,37511.29325,15186.7584,33481.0313,38,0.33,0.726657857823779,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
18,2,1.970361446,7.777777778,157.0527725,17595.79193,7123.8024,15705.27725,28,0.24,0.891413550556612,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
18,3,2.249761905,7.692307692,181.4836306,20332.96294,8231.9688,18148.36306,30,0.26,0.88662086384119,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
18,4,2.003576642,6.802721088,263.6016602,29533.25747,11956.7844,26360.16602,20,0.17,0.833320609338337,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
18,5,1.988866995,11.73913043,387.7246322,43439.67857,17586.9144,38772.46322,26,0.22,1.07000572503946,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
19,1,1.707037037,26.36363636,132.7851709,14876.91176,6023.0412,13278.51709,23,0.2,1.42117001383609,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
19,2,1.497560976,51.76470588,58.96441378,6606.22248,2674.584,5896.441378,22,0.19,1.71411764044708,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
19,3,1.838571429,45.09803922,98.87583132,11077.79587,4484.9376,9887.583132,9,0.08,1.65425394936679,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
19,4,1.683389831,40.4040404,95.38022112,10686.15662,4326.3792,9538.022112,9,0.08,1.60653227127183,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
19,5,1.492916667,46.66666667,68.81742494,7710.128712,3121.5096,6881.742494,17,0.15,1.66909983412323,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
2,1,1.76959596,30.76923077,168.2406458,18849.25271,7631.2764,16824.06458,23,0.19,1.48825776180739,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
2,2,1.941443299,43.93063584,180.8498111,20261.95142,8203.2192,18084.98111,26,0.22,1.6428663370589,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
2,3,1.960266667,25,141.18808,15818.35226,6404.1912,14118.808,21,0.18,1.3981136917305,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
2,4,1.871898734,36.8,142.013966,15910.88242,6441.6528,14201.3966,29,0.25,1.56596581744667,ST,2021,10,cig,,4,,,,,,,58.8,8.23,
